Ticket_ID,Milestone,Milestone_Objective,Track,Priority,Risk_Burn_Down,Owner_Role,Est_Points,Depends_On,Deliverable,Definition_of_Done
PM2-200,M2-Platform-Portability,Input abstraction for KBM touch and gamepad,Platform,P0,R9-Control-parity,Platform-Engineer,5,PM2-107,Unified input action maps with per-platform presets,All required actions work on Web mobile Xbox profiles
PM2-201,M2-Platform-Portability,Settings persistence and profile defaults,Platform,P1,R10-Settings-noncompliance,Platform-Engineer,3,PM2-200,Settings save system for graphics audio accessibility controls,Settings persist after restart on each platform
PM2-202,M2-Platform-Portability,Quality tiers and network tick profiles,Platform,P0,R11-Performance-instability,Tech-Lead,3,PM2-107,Config assets for Low Medium High Auto and tick rates,Runtime switches profile without gameplay corruption
PM2-203,M2-Platform-Portability,Performance budgets and telemetry capture,Performance,P0,R11-Performance-instability,Performance-Engineer,5,PM2-202,Frame time memory and bandwidth dashboards,Targets defined and tracked per platform tier
PM2-204,M2-Platform-Portability,WebGL optimization and fallback VFX path,Platform,P0,R12-WebGL-regressions,Web-Engineer,5,PM2-203,WebGL specific shader and VFX fallback set,Stable framerate target met on supported browsers
PM2-205,M2-Platform-Portability,Mobile thermal battery and touch polish,Platform,P0,R13-Mobile-thermal-throttle,Mobile-Engineer,5,PM2-203,Adaptive quality governor and touch tuning,Thirty minute session avoids severe thermal throttling
PM2-206,M2-Platform-Portability,Xbox UX compliance handling for pause and network errors,Platform,P0,R14-Xbox-cert-failures,Console-Engineer,5,PM2-201|PM2-202,Certification readiness checklist and UX flows,Xbox checklist items for session and pause pass internal review
PM2-207,M2-Platform-Portability,Milestone gate for portability baseline,PM,P0,R11-Performance-instability,PM-Lead,2,PM2-204|PM2-205|PM2-206,Gate-M2-report,Web mobile Xbox smoke tests all pass with baseline performance
PM2-300,M3-Core-Gameplay,Implement fixed-arc weapons and power bands,Gameplay,P0,R15-Core-loop-not-fun,Combat-Engineer,5,PM2-107,Weapon profiles and arc preview marker system,Tap short hold long hold behavior is readable and consistent
PM2-301,M3-Core-Gameplay,Implement Blue and Green tank classes,Gameplay,P1,R16-Class-balance-risk,Gameplay-Engineer,3,PM2-300,Data driven class stats and passives,Both classes clear tutorial nodes with distinct play patterns
PM2-302,M3-Core-Gameplay,Implement destructible material classes and chain rules,Gameplay,P0,R5-Puzzle-state-divergence,Gameplay-Engineer,5,PM2-102|PM2-300,Destructible system brittle reinforced explosive support,Material effects are readable and network deterministic
PM2-303,M3-Core-Gameplay,Implement ramps traction and elevation lanes,Gameplay,P1,R17-Movement-friction,Gameplay-Engineer,3,PM2-300,Ramp traversal module and validation rules,Tanks navigate ramps without clipping or camera loss
PM2-304,M3-Core-Gameplay,Implement health mystery and power-up systems,Gameplay,P1,R18-RNG-unfairness,Gameplay-Engineer,3,PM2-101|PM2-300,Pickup spawner with host-seeded outcomes,Pickup outcomes are authoritative and logged with seed
PM2-305,M3-Core-Gameplay,Ship enemy AI roster scout bruiser sniper engineer,AI,P0,R19-AI-pressure-spikes,AI-Engineer,5,PM2-302|PM2-303,Enemy FSM utility behaviors and telegraphs,Each enemy role is readable and fulfills design intent
PM2-306,M3-Core-Gameplay,Build boss framework with phase scripting,AI,P1,R20-Boss-encounter-instability,AI-Engineer,5,PM2-305,Boss state machine with phase transitions,Phase transitions are checkpointed and deterministic
PM2-307,M3-Core-Gameplay,HUD results and scoring lane breakdown,UI,P1,R21-Feedback-opacity,UI-Engineer,3,PM2-300|PM2-304,In game HUD and result panels with score lanes,Players can see efficiency style combo objective score splits
PM2-308,M3-Core-Gameplay,Milestone gate for playable vertical slice,PM,P0,R15-Core-loop-not-fun,PM-Lead,2,PM2-301|PM2-302|PM2-305|PM2-307,Gate-M3-vertical-slice,Map1 nodes 1 to 3 playable in solo and co-op
PM2-400,M4-Content-Completion,Implement world map stars and unlock graph,Progression,P0,R22-Progression-blockers,Progression-Engineer,3,PM2-308,Node map with star gates and save hooks,Players unlock nodes and map transitions correctly
PM2-401,M4-Content-Completion,Build and polish Map1 nodes 1 to 5,Level-Design,P1,R23-Content-quality-drift,Level-Designer,5,PM2-308,Map1 complete with boss node,Map1 meets target clear rates and readability checks
PM2-402,M4-Content-Completion,Build and polish Map2 nodes 1 to 5,Level-Design,P1,R23-Content-quality-drift,Level-Designer,8,PM2-401,Map2 complete with boss node,Map2 passes pacing and mixed enemy pressure review
PM2-403,M4-Content-Completion,Build and polish Map3 nodes 1 to 4,Level-Design,P1,R23-Content-quality-drift,Level-Designer,8,PM2-402,Map3 pre-boss nodes complete,Map3 nodes meet difficulty and fairness targets
PM2-404,M4-Content-Completion,Finalize Map3 node 5 final boss encounter,Level-Design,P0,R20-Boss-encounter-instability,Level-Designer,5,PM2-306|PM2-403,Final boss mission implementation,Final mission integrates all mechanics without blocker bugs
PM2-405,M4-Content-Completion,Accessibility options and assist tuning,UX,P0,R24-Accessibility-gaps,UX-Engineer,3,PM2-307,Colorblind UI scale shake and subtitle options,Accessibility options work across target platforms
PM2-406,M4-Content-Completion,Audio and VFX event routing with pooling,Presentation,P1,R25-Presentation-overload,AudioVFX-Engineer,3,PM2-203|PM2-307,Event catalogs and pooled effects,No major audio clipping or VFX spikes in stress scenes
PM2-407,M4-Content-Completion,Onboarding first ten minutes mission flow,Design,P1,R26-Onboarding-dropoff,Game-Designer,3,PM2-308,Tutorialized opening sequence implementation,New players learn core verbs within ten minutes
PM2-408,M4-Content-Completion,Milestone gate for feature complete content,PM,P0,R22-Progression-blockers,PM-Lead,2,PM2-400|PM2-404|PM2-405|PM2-407,Gate-M4-feature-freeze,All 15 nodes playable with progression and settings complete
PM2-500,M5-Hardening-Launch,Save system local and cloud sync policy,Platform,P1,R27-Progress-loss,Platform-Engineer,3,PM2-408,Save schema and conflict resolution implementation,Progression survives reinstall and multi-device sync tests
PM2-501,M5-Hardening-Launch,Telemetry for scoring retries and desync events,Data,P1,R28-Blind-postlaunch-debugging,Data-Engineer,3,PM2-408,Analytics events and dashboard starter pack,Live dashboards show key health and balance metrics
PM2-502,M5-Hardening-Launch,Automated regression suite for puzzle network progression,QA,P0,R29-Regression-escape,QA-Automation,5,PM2-408,Test suite integrated in CI matrix,No P0 regressions pass without failing CI
PM2-503,M5-Hardening-Launch,QA pass and blocker triage closure,QA,P0,R30-Late-defect-burst,QA-Lead,5,PM2-502,QA report and bug burndown board,P0 and P1 blocker counts reach zero
PM2-504,M5-Hardening-Launch,Playtest pass for clarity fairness replayability,Design,P1,R31-Retention-risk,Design-Lead,3,PM2-408,Playtest findings and tuning patch list,Playtest confirms readability and acceptable difficulty ramp
PM2-505,M5-Hardening-Launch,Multiplayer stability burn-down round two with 4-player stretch,Networking,P0,R8-Unknown-network-resilience,Netcode-Engineer,5,PM2-503,Extended soak and packet chaos report,Four player stress run meets crash and desync thresholds
PM2-506,M5-Hardening-Launch,Platform certification prep and compliance sweeps,Platform,P0,R14-Xbox-cert-failures,Release-Engineer,5,PM2-503|PM2-206,Certification checklist evidence bundle,Web mobile Xbox compliance checks have no critical gaps
PM2-507,M5-Hardening-Launch,Launch operations docs comms and release runbook,PM,P1,R32-Launch-execution-risk,PM-Lead,2,PM2-503,Release checklist comms templates and rollback plan,Launch runbook reviewed by PM QA and engineering leads
PM2-508,M5-Hardening-Launch,Release candidate milestone gate,PM,P0,R32-Launch-execution-risk,PM-Lead,2,PM2-500|PM2-501|PM2-504|PM2-505|PM2-506|PM2-507,Gate-M5-release-candidate,All milestone gates passed and project ready for go no-go
